contact info,Display name,documents serial,long bio,personality serial,short bio,Sorting name,title
,Mathewsie (attributed to),,,P10339,,Mathewsie (attributed to),Mathewsie (attributed to)
,Rick McCarthy,,,P10340,,"McCarthy, Rick",Rick McCarthy
,David McDougall,,,P10341,,"McDougall, David",David McDougall
,William Hodd McElcheran,,,P10342,,"McElcheran, William Hodd",William Hodd McElcheran
,Jean McEwen,,,P10343,,"McEwen, Jean",Jean McEwen
,Casey McGlynn,,,P10344,,"McGlynn, Casey",Casey McGlynn
,John McGregor,,,P10345,,"McGregor, John",John McGregor
,Arthur Fortescue McKay,,,P10346,,"McKay, Arthur Fortescue",Arthur Fortescue McKay
,Roy McMurtry,,,P10347,,"McMurtry, Roy",Roy McMurtry
,Robert McNealy,,,P10348,,"McNealy, Robert",Robert McNealy
,Ray Mead,,,P10349,,"Mead, Ray",Ray Mead
,Charles Meanwell,,,P10350,,"Meanwell, Charles",Charles Meanwell
,Stephen Mennie,,,P10351,,"Mennie, Stephen",Stephen Mennie
,John Meredith,,,P10352,,"Meredith, John",John Meredith
,Liesel Meyer,,,P10353,,"Meyer, Liesel",Liesel Meyer
,Sheldon Michaels,,,P10354,,"Michaels, Sheldon",Sheldon Michaels
,Tessa Middleton,,,P10355,,"Middleton, Tessa",Tessa Middleton
,Jan Milito,,,P10356,,"Milito, Jan",Jan Milito
,David Milne,,,P10357,,"Milne, David",David Milne
,Martha Ulliyak Milortok,,,P10358,,"Milortok, Martha Ulliyak",Martha Ulliyak Milortok
,Minmossie (attributed to),,,P10359,,Minmossie (attributed to),Minmossie (attributed to)
,Joan Miro,,,P10360,,"Miro, Joan",Joan Miro
,Guido Molinari,,,P10361,,"Molinari, Guido",Guido Molinari
,Andre Montpetit,,,P10362,,"Montpetit, Andre",Andre Montpetit
,Laura Moor,,,P10363,,"Moor, Laura",Laura Moor
,Henry Moore,,,P10364,,"Moore, Henry",Henry Moore
,Norval Morrisseau,,,P10365,,"Morrisseau, Norval",Norval Morrisseau
,Douglas Morton,,,P10366,,"Morton, Douglas",Douglas Morton
,Robert Motherwell,,,P10367,,"Motherwell, Robert",Robert Motherwell
,James Mroczkowski,,,P10368,,"Mroczkowski, James",James Mroczkowski
,Munya Mudzima,,,P10369,,"Mudzima, Munya",Munya Mudzima
,Bruce Muir,,,P10370,,"Muir, Bruce",Bruce Muir
,Louis Jean Muller,,,P10371,,"Muller, Louis Jean",Louis Jean Muller
,Otto Muller,,,P10372,,"Muller, Otto",Otto Muller
,Frank Mulvey,,,P10373,,"Mulvey, Frank",Frank Mulvey
,Kathleen Munn,,,P10374,,"Munn, Kathleen",Kathleen Munn
,Will Munro,,,P10375,,"Munro, Will",Will Munro
,Robert Murray,,,P10376,,"Murray, Robert",Robert Murray
,Antonio Zoran Music,,,P10377,,"Music, Antonio Zoran",Antonio Zoran Music
,Edward Muybridge,,,P10378,,"Muybridge, Edward",Edward Muybridge
,N.N,,,P10379,,N.N,N.N
,Kazuo Nakamura,,,P10380,,"Nakamura, Kazuo",Kazuo Nakamura
,Reuben Nakian,,,P10381,,"Nakian, Reuben",Reuben Nakian
,Philiposie Napatuk,,,P10382,,"Napatuk, Philiposie",Philiposie Napatuk
,Abraham Nastapoka,,,P10383,,"Nastapoka, Abraham",Abraham Nastapoka
,Samson Nastapoka,,,P10384,,"Nastapoka, Samson",Samson Nastapoka
,Natsivaar,,,P10385,,Natsivaar,Natsivaar
,Nayoumealook (attributed to),,,P10386,,Nayoumealook (attributed to),Nayoumealook (attributed to)
,Conlucy Nayoumealook,,,P10387,,"Nayoumealook, Conlucy",Conlucy Nayoumealook
,Timothy Nayoumealook,,,P10388,,"Nayoumealook, Timothy",Timothy Nayoumealook
,Marianne Neil,,,P10389,,"Neil, Marianne",Marianne Neil
,William J.B. Newcombe,,,P10390,,"Newcombe, William J.B.",William J.B. Newcombe
,Neil Newton,,,P10391,,"Newton, Neil",Neil Newton
,Jack Nichols,,,P10392,,"Nichols, Jack",Jack Nichols
,Niviaksiak,,,P10393,,Niviaksiak,Niviaksiak
,Niviaksiak (attributed to),,,P10394,,Niviaksiak (attributed to),Niviaksiak (attributed to)
,Adamie Niviaxie,,,P10395,,"Niviaxie, Adamie",Adamie Niviaxie
,Conlucy Niviaxie,,,P10396,,"Niviaxie, Conlucy",Conlucy Niviaxie
,Samwillie Niviaxie,,,P10397,,"Niviaxie, Samwillie",Samwillie Niviaxie
,Kenneth Noland,,,P10398,,"Noland, Kenneth",Kenneth Noland
,Peter Nooktialook,,,P10399,,"Nooktialook, Peter",Peter Nooktialook
,Maria Nordman,,,P10400,,"Nordman, Maria",Maria Nordman
,Noah Nowrakudluk,,,P10401,,"Nowrakudluk, Noah",Noah Nowrakudluk
,Iqalu Isidore Nutaraalu,,,P10402,,"Nutaraalu, Iqalu Isidore",Iqalu Isidore Nutaraalu
,Johnny Angutigulu Nuvalinga,,,P10403,,"Nuvalinga, Johnny Angutigulu",Johnny Angutigulu Nuvalinga
,Oblayou,,,P10404,,Oblayou,Oblayou
,Louis Oksokitok,,,P10405,,"Oksokitok, Louis",Louis Oksokitok
,Toni Onley,,,P10406,,"Onley, Toni",Toni Onley
,Oomayoualook,,,P10407,,Oomayoualook,Oomayoualook
,Isa Oomayoualook,,,P10408,,"Oomayoualook, Isa",Isa Oomayoualook
,Jessie Oonark,,,P10409,,"Oonark, Jessie",Jessie Oonark
,Ruby A. Oonark,,,P10410,,"Oonark, Ruby A.",Ruby A. Oonark
,Sheokjuk Oqutaq,,,P10411,,"Oqutaq, Sheokjuk",Sheokjuk Oqutaq
,Anirnik Oshuitoq,,,P10412,,"Oshuitoq, Anirnik",Anirnik Oshuitoq
,Nineeuga Oshuitoq,,,P10413,,"Oshuitoq, Nineeuga",Nineeuga Oshuitoq
,Henry Quvianaqtuliac Ottokie,,,P10414,,"Ottokie, Henry Quvianaqtuliac",Henry Quvianaqtuliac Ottokie
,Quyuq Ottokie,,,P10415,,"Ottokie, Quyuq",Quyuq Ottokie
,Daniel Oweetaluktuk,,,P10416,,"Oweetaluktuk, Daniel",Daniel Oweetaluktuk
,Dawn Owen,,,P10417,,"Owen, Dawn",Dawn Owen
,Charles Pachter,,,P10418,,"Pachter, Charles",Charles Pachter
,Mary Tukiliaq Padlayat,,,P10419,,"Padlayat, Mary Tukiliaq",Mary Tukiliaq Padlayat
,Luke Painter,,,P10420,,"Painter, Luke",Luke Painter
,John Palchinski,,,P10421,,"Palchinski, John",John Palchinski
,Panqnirtunq,,,P10422,,Panqnirtunq,Panqnirtunq
,Eduardo Paolozzi,,,P10423,,"Paolozzi, Eduardo",Eduardo Paolozzi
,Josie Pamiutu Papialuk,,,P10424,,"Papialuk, Josie Pamiutu",Josie Pamiutu Papialuk
,Lee Paquette,,,P10425,,"Paquette, Lee",Lee Paquette
,Eleeshushe Parr,,,P10426,,"Parr, Eleeshushe",Eleeshushe Parr
,Quvianatuliak Parr,,,P10427,,"Parr, Quvianatuliak",Quvianatuliak Parr
,Bruce Parsons,,,P10428,,"Parsons, Bruce",Bruce Parsons
,David G. Partridge,,,P10429,,"Partridge, David G.",David G. Partridge
,Noah Tukai Paulosie,,,P10430,,"Paulosie, Noah Tukai",Noah Tukai Paulosie
,Paunichea,,,P10431,,Paunichea,Paunichea
,Gilles Payette,,,P10432,,"Payette, Gilles",Gilles Payette
,Jean Miseclas Peske,,,P10433,,"Peske, Jean Miseclas",Jean Miseclas Peske
,Christiane Pflug,,,P10434,,"Pflug, Christiane",Christiane Pflug
,Peter Phillips,,,P10435,,"Phillips, Peter",Peter Phillips
,Ulayu Pingwartok,,,P10436,,"Pingwartok, Ulayu",Ulayu Pingwartok
,David Ruben Piqtoukun,,,P10437,,"Piqtoukun, David Ruben",David Ruben Piqtoukun
,Ashoona Pitseolak,,,P10438,,"Pitseolak, Ashoona",Ashoona Pitseolak
,Mary Pitseolak,,,P10439,,"Pitseolak, Mary",Mary Pitseolak
,Leopold Plotek,,,P10440,,"Plotek, Leopold",Leopold Plotek
,Tiiu Poder,,,P10441,,"Poder, Tiiu",Tiiu Poder
,Kananginak Pootoogook,,,P10442,,"Pootoogook, Kananginak",Kananginak Pootoogook
,Pudlat Pootoogook,,,P10443,,"Pootoogook, Pudlat",Pudlat Pootoogook
,Abraham Pov,,,P10444,,"Pov, Abraham",Abraham Pov
,Simon Pov,,,P10445,,"Pov, Simon",Simon Pov
,Christopher Pratt,,,P10446,,"Pratt, Christopher",Christopher Pratt
,Innukjuakju Pudlat,,,P10447,,"Pudlat, Innukjuakju",Innukjuakju Pudlat
,Mary Pudlat,,,P10448,,"Pudlat, Mary",Mary Pudlat
,Ningeoseak Pudlat,,,P10449,,"Pudlat, Ningeoseak",Ningeoseak Pudlat
,Pudlo Pudlat,,,P10450,,"Pudlat, Pudlo",Pudlo Pudlat
,Pilupusi Putugu,,,P10451,,"Putugu, Pilupusi",Pilupusi Putugu
,Qabaroak Qatsiya,,,P10452,,"Qatsiya, Qabaroak",Qabaroak Qatsiya
,Lukta Qiatsuk (attributed to),,,P10453,,"Qiatsuk (attributed to), Lukta",Lukta Qiatsuk (attributed to)
,Lukta Qiatsuk,,,P10454,,"Qiatsuk, Lukta",Lukta Qiatsuk
,Eliassiapik Qiluqi,,,P10455,,"Qiluqi, Eliassiapik",Eliassiapik Qiluqi
,Matiusi Manukullu Qiluqi,,,P10456,,"Qiluqi, Matiusi Manukullu",Matiusi Manukullu Qiluqi
,Lucy Qinnuayuak,,,P10457,,"Qinnuayuak, Lucy",Lucy Qinnuayuak
,Charlie Quarak,,,P10458,,"Quarak, Charlie",Charlie Quarak
,Levi Qumaluk,,,P10459,,"Qumaluk, Levi",Levi Qumaluk
,Rackus,,,P10460,,Rackus,Rackus
,Jean Francois Raffaelli,,,P10461,,"Raffaelli, Jean Francois",Jean Francois Raffaelli
,Egevadluq Ragee,,,P10462,,"Ragee, Egevadluq",Egevadluq Ragee
,Mel Ramos,,,P10463,,"Ramos, Mel",Mel Ramos
,Avis Rasmussen,,,P10464,,"Rasmussen, Avis",Avis Rasmussen
,Mary E. Rawlyck,,,P10465,,"Rawlyck, Mary E.",Mary E. Rawlyck
,Gordon Rayner,,,P10466,,"Rayner, Gordon",Gordon Rayner
,R Realini,,,P10467,,"Realini, R",R Realini
,Georges Redon,,,P10468,,"Redon, Georges",Georges Redon
,Bill Reid,,,P10469,,"Reid, Bill",Bill Reid
,Jack Reppen,,,P10470,,"Reppen, Jack",Jack Reppen
,John Reynolds,,,P10471,,"Reynolds, John",John Reynolds
,Philip Richards,,,P10472,,"Richards, Philip",Philip Richards
,George Rickey,,,P10473,,"Rickey, George",George Rickey
,David Rifat,,,P10474,,"Rifat, David",David Rifat
,Jean-Paul Riopelle,,,P10475,,"Riopelle, Jean-Paul",Jean-Paul Riopelle
,Larry Rivers,,,P10476,,"Rivers, Larry",Larry Rivers
,Kevin Roach,,,P10477,,"Roach, Kevin",Kevin Roach
,Craig Rodmore,,,P10478,,"Rodmore, Craig",Craig Rodmore
,Sasha Rogers,,,P10479,,"Rogers, Sasha",Sasha Rogers
,William Ronald,,,P10480,,"Ronald, William",William Ronald
,James Rosenquist,,,P10481,,"Rosenquist, James",James Rosenquist
,Branko Rukavina,,,P10482,,"Rukavina, Branko",Branko Rukavina
,Alma Rumball,,,P10483,,"Rumball, Alma",Alma Rumball
,Kathryn Rupert Dazai,,,P10484,,"Rupert Dazai, Kathryn",Kathryn Rupert Dazai
,Deli Sacilotto,,,P10485,,"Sacilotto, Deli",Deli Sacilotto
,Donald Saff,,,P10486,,"Saff, Donald",Donald Saff
,Pauta Saila,,,P10487,,"Saila, Pauta",Pauta Saila
,David Samila,,,P10488,,"Samila, David",David Samila
,Samuelie,,,P10489,,Samuelie,Samuelie
,Jerry Santbergen,,,P10490,,"Santbergen, Jerry",Jerry Santbergen
,Alejandro Santiago,,,P10491,,"Santiago, Alejandro",Alejandro Santiago
,Joseph Sattler,,,P10492,,"Sattler, Joseph",Joseph Sattler
,Hector Saunier,,,P10493,,"Saunier, Hector",Hector Saunier
,Robert Savoie,,,P10494,,"Savoie, Robert",Robert Savoie
,Carl Fellman Schaefer,,,P10495,,"Schaefer, Carl Fellman",Carl Fellman Schaefer
,Susan Schelle,,,P10496,,"Schelle, Susan",Susan Schelle
,Otto Schneid,,,P10497,,"Schneid, Otto",Otto Schneid
,Judith Schwarz,,,P10498,,"Schwarz, Judith",Judith Schwarz
,Hans Schweitzer,,,P10499,,"Schweitzer, Hans",Hans Schweitzer
,John Schweitzer,,,P10500,,"Schweitzer, John",John Schweitzer
,Hans Schweizer,,,P10501,,"Schweizer, Hans",Hans Schweizer
,Gerald Ward Scott,,,P10502,,"Scott, Gerald Ward",Gerald Ward Scott
,John Scott,,,P10503,,"Scott, John",John Scott
,Sarah Scythes,,,P10504,,"Scythes, Sarah",Sarah Scythes
,Volker Seding,,,P10505,,"Seding, Volker",Volker Seding
,Seemeeguk (attributed to),,,P10506,,Seemeeguk (attributed to),Seemeeguk (attributed to)
,Michael Semak,,,P10507,,"Semak, Michael",Michael Semak
,Cathy Senitt-Harbison,,,P10508,,"Senitt-Harbison, Cathy",Cathy Senitt-Harbison
,Aqjangajuk Shaa,,,P10509,,"Shaa, Aqjangajuk",Aqjangajuk Shaa
,Josephee Sharky (attributed to),,,P10510,,"Sharky (attributed to), Josephee",Josephee Sharky (attributed to)
,Sharmi,,,P10511,,Sharmi,Sharmi
,Hong Yin Shen,,,P10512,,"Shen, Hong Yin",Hong Yin Shen
,Cynthia Short,,,P10513,,"Short, Cynthia",Cynthia Short
,Ron Shuebrook,,,P10514,,"Shuebrook, Ron",Ron Shuebrook
,Daniel Simaotik,,,P10515,,"Simaotik, Daniel",Daniel Simaotik
,Simon (attributed to),,,P10516,,Simon (attributed to),Simon (attributed to)
,Simonie,,,P10517,,Simonie,Simonie
,Simonie (attributed to),,,P10518,,Simonie (attributed to),Simonie (attributed to)
,Judy Singer,,,P10519,,"Singer, Judy",Judy Singer
,Gustave Singier,,,P10520,,"Singier, Gustave",Gustave Singier
,John Massey and Becky Singleton,,,P10521,,"Massey, John and Becky Singleton",John Massey and Becky Singleton
,Christine Aaluk Sivanertok,,,P10522,,"Sivanertok, Christine Aaluk",Christine Aaluk Sivanertok
,Charlie Sivuarapik,,,P10523,,"Sivuarapik, Charlie",Charlie Sivuarapik
,Tom Slaughter,,,P10524,,"Slaughter, Tom",Tom Slaughter
,Isa Smiler,,,P10525,,"Smiler, Isa",Isa Smiler
,Andrew Smith,,,P10526,,"Smith, Andrew",Andrew Smith
,Gordon Smith,,,P10527,,"Smith, Gordon",Gordon Smith
,Joseph Smith,,,P10528,,"Smith, Joseph",Joseph Smith
,Teagan Smith,,,P10529,,"Smith, Teagan",Teagan Smith
,Sara Sniderhan,,,P10530,,"Sniderhan, Sara",Sara Sniderhan
,Michael Snowdon,,,P10531,,"Snowdon, Michael",Michael Snowdon
,Soviet,,,P10532,,Soviet,Soviet
,Garth Speight,,,P10533,,"Speight, Garth",Garth Speight
,Ed Steinlen,,,P10534,,"Steinlen, Ed",Ed Steinlen
,Theophile Steinlen,,,P10535,,"Steinlen, Theophile",Theophile Steinlen
,Frank Stella,,,P10536,,"Stella, Frank",Frank Stella
,Richard Stipl,,,P10537,,"Stipl, Richard",Richard Stipl
,Doug Stone,,,P10538,,"Stone, Doug",Doug Stone
,Ionko Stoyanov,,,P10539,,"Stoyanov, Ionko",Ionko Stoyanov
,Ewa Stryjnik,,,P10540,,"Stryjnik, Ewa",Ewa Stryjnik
,Vivian Sturdee,,,P10541,,"Sturdee, Vivian",Vivian Sturdee
,Derek Sullivan,,,P10542,,"Sullivan, Derek",Derek Sullivan
,Philip Sutton,,,P10543,,"Sutton, Philip",Philip Sutton
,Joe Szilva,,,P10544,,"Szilva, Joe",Joe Szilva
,Carl Tacon,,,P10545,,"Tacon, Carl",Carl Tacon
,Joe Taliruniili,,,P10546,,"Taliruniili, Joe",Joe Taliruniili
,Otis Tamasauskas,,,P10547,,"Tamasauskas, Otis",Otis Tamasauskas
,Vincent Tangredi,,,P10548,,"Tangredi, Vincent",Vincent Tangredi
,Lucy Tasseor,,,P10549,,"Tasseor, Lucy",Lucy Tasseor
,Gary Taxali,,,P10550,,"Taxali, Gary",Gary Taxali
,Angotigolu Teevee,,,P10551,,"Teevee, Angotigolu",Angotigolu Teevee
,Jamasie Teevee,,,P10552,,"Teevee, Jamasie",Jamasie Teevee
,Alice Teichert,,,P10553,,"Teichert, Alice",Alice Teichert
,Mashel Teitelbaum,,,P10554,,"Teitelbaum, Mashel",Mashel Teitelbaum
,Eugene Tellez,,,P10555,,"Tellez, Eugene",Eugene Tellez
,Francois Thepot,,,P10556,,"Thepot, Francois",Francois Thepot
,Roger Francois Thepot,,,P10557,,"Thepot, Roger Francois",Roger Francois Thepot
,Robert Therrien,,,P10558,,"Therrien, Robert",Robert Therrien
,Lionel Thomas,,,P10559,,"Thomas, Lionel",Lionel Thomas
,Tamara Toledo,,,P10560,,"Toledo, Tamara",Tamara Toledo
,Paul Bernard Toman,,,P10561,,"Toman, Paul Bernard",Paul Bernard Toman
,Bernadette Iguptark Tongelik,,,P10562,,"Tongelik, Bernadette Iguptark",Bernadette Iguptark Tongelik
,Lucassie Tookalak,,,P10563,,"Tookalak, Lucassie",Lucassie Tookalak
,Toonoo (attributed to),,,P10564,,Toonoo (attributed to),Toonoo (attributed to)
,Henri Toulouse-Lautrec,,,P10565,,"Toulouse-Lautrec, Henri",Henri Toulouse-Lautrec
,Denis Tourbin,,,P10566,,"Tourbin, Denis",Denis Tourbin
,Claude Tousignant,,,P10567,,"Tousignant, Claude",Claude Tousignant
,Larry Towell,,,P10568,,"Towell, Larry",Larry Towell
,Harold Town,,,P10569,,"Town, Harold",Harold Town
,Isah Ajagutaina Tukala,,,P10570,,"Tukala, Isah Ajagutaina",Isah Ajagutaina Tukala
,Noah Tuki,,,P10571,,"Tuki, Noah",Noah Tuki
,Sima Tuki,,,P10572,,"Tuki, Sima",Sima Tuki
,Aisa Tuluga,,,P10573,,"Tuluga, Aisa",Aisa Tuluga
,Kartz Ucci,,,P10574,,"Ucci, Kartz",Kartz Ucci
,Ulayo,,,P10575,,Ulayo,Ulayo
,Unknown,,,P10576,,Unknown,Unknown
,Unknown - Huon Peninsula,,,P10577,,Unknown - Huon Peninsula,Unknown - Huon Peninsula
,Unknown (?),,,P10578,,Unknown (?),Unknown (?)
,"Unknown (Abelam People, Lower Sepik, Papua New Guinea)",,,P10579,,"Unknown (Abelam People, Lower Sepik, Papua New Guinea)","Unknown (Abelam People, Lower Sepik, Papua New Guinea)"
,Unknown (African?),,,P10580,,Unknown (African?),Unknown (African?)
,Unknown (African),,,P10581,,Unknown (African),Unknown (African)
,"Unknown (Attributed Thule, West Alaska)",,,P10582,,"Unknown (Attributed Thule, West Alaska)","Unknown (Attributed Thule, West Alaska)"
,Unknown (Australian),,,P10583,,Unknown (Australian),Unknown (Australian)
,"Unknown (Bambara, West Africa)",,,P10584,,"Unknown (Bambara, West Africa)","Unknown (Bambara, West Africa)"
,"Unknown (Bamileke People, Rep. of Cameroon)",,,P10585,,"Unknown (Bamileke People, Rep. of Cameroon)","Unknown (Bamileke People, Rep. of Cameroon)"
,"Unknown (Biwat People, Lower Sepik, Papua New Guinea)",,,P10586,,"Unknown (Biwat People, Lower Sepik, Papua New Guinea)","Unknown (Biwat People, Lower Sepik, Papua New Guinea)"
,"Unknown (Central Sepik, Papua New Guinea)",,,P10587,,"Unknown (Central Sepik, Papua New Guinea)","Unknown (Central Sepik, Papua New Guinea)"
,"Unknown (Coastal Sepik, Papual New Guinea)",,,P10588,,"Unknown (Coastal Sepik, Papual New Guinea)","Unknown (Coastal Sepik, Papual New Guinea)"
,"Unknown (Coastal Sepik, Ramu River, Papua New Guinea)",,,P10589,,"Unknown (Coastal Sepik, Ramu River, Papua New Guinea)","Unknown (Coastal Sepik, Ramu River, Papua New Guinea)"
,Unknown (Egyptian),,,P10590,,Unknown (Egyptian),Unknown (Egyptian)
,"Unknown (Elema People, Papuan Gulf, Papua New Guinea)",,,P10591,,"Unknown (Elema People, Papuan Gulf, Papua New Guinea)","Unknown (Elema People, Papuan Gulf, Papua New Guinea)"
,"Unknown (Huon Peninsula, Papua New Guinea)",,,P10592,,"Unknown (Huon Peninsula, Papua New Guinea)","Unknown (Huon Peninsula, Papua New Guinea)"
,"Unknown (Iatmul People, Middle Sepik, Papua New Guinea)",,,P10593,,"Unknown (Iatmul People, Middle Sepik, Papua New Guinea)","Unknown (Iatmul People, Middle Sepik, Papua New Guinea)"
,"Unknown (Iatmul People, Papua New Guinea)",,,P10594,,"Unknown (Iatmul People, Papua New Guinea)","Unknown (Iatmul People, Papua New Guinea)"
,"Unknown (Inuit, Mittimatalik, Baffin Island)",,,P10595,,"Unknown (Inuit, Mittimatalik, Baffin Island)","Unknown (Inuit, Mittimatalik, Baffin Island)"
,Unknown (Inuit),,,P10596,,Unknown (Inuit),Unknown (Inuit)
,"Unknown (Kiwai People, Papuan Gulf, Papua New Guinea)",,,P10597,,"Unknown (Kiwai People, Papuan Gulf, Papua New Guinea)","Unknown (Kiwai People, Papuan Gulf, Papua New Guinea)"
,Unknown (Kwakiutl),,,P10598,,Unknown (Kwakiutl),Unknown (Kwakiutl)
,"Unknown (Lower Sepik, Papua New Guinea)",,,P10599,,"Unknown (Lower Sepik, Papua New Guinea)","Unknown (Lower Sepik, Papua New Guinea)"
,"Unknown (Manam People, Sepik River, Papua New Guinea)",,,P10600,,"Unknown (Manam People, Sepik River, Papua New Guinea)","Unknown (Manam People, Sepik River, Papua New Guinea)"
,"Unknown (Marakula, Australian)",,,P10601,,"Unknown (Marakula, Australian)","Unknown (Marakula, Australian)"
,Unknown (Mexican),,,P10602,,Unknown (Mexican),Unknown (Mexican)
,"Unknown (Middle Sepik, Papua New Guinea)",,,P10603,,"Unknown (Middle Sepik, Papua New Guinea)","Unknown (Middle Sepik, Papua New Guinea)"
,"Unknown (misattributed to Dorset, West Alaska)",,,P10604,,"Unknown (misattributed to Dorset, West Alaska)","Unknown (misattributed to Dorset, West Alaska)"
,"Unknown (Murik Lagoon People, Coastal, Papua New Guinea)",,,P10605,,"Unknown (Murik Lagoon People, Coastal, Papua New Guinea)","Unknown (Murik Lagoon People, Coastal, Papua New Guinea)"
,"Unknown (New Britain, Papua New Guinea)",,,P10606,,"Unknown (New Britain, Papua New Guinea)","Unknown (New Britain, Papua New Guinea)"
,"Unknown (North Maprik, Papua New Guinea)",,,P10607,,"Unknown (North Maprik, Papua New Guinea)","Unknown (North Maprik, Papua New Guinea)"
,Unknown (Papua New Guinea),,,P10608,,Unknown (Papua New Guinea),Unknown (Papua New Guinea)
,"Unknown (Papuan Gulf, Papua New Guinea)",,,P10609,,"Unknown (Papuan Gulf, Papua New Guinea)","Unknown (Papuan Gulf, Papua New Guinea)"
,"Unknown (Presumed Inuit, West Alaska)",,,P10610,,"Unknown (Presumed Inuit, West Alaska)","Unknown (Presumed Inuit, West Alaska)"
,Unknown (Presumed Inuit),,,P10611,,Unknown (Presumed Inuit),Unknown (Presumed Inuit)
,Unknown (Presumed Pacific Northwest Coast),,,P10612,,Unknown (Presumed Pacific Northwest Coast),Unknown (Presumed Pacific Northwest Coast)
,"Unknown (Senufo, Ivory Coast, West Africa)",,,P10613,,"Unknown (Senufo, Ivory Coast, West Africa)","Unknown (Senufo, Ivory Coast, West Africa)"
,"Unknown (Senufo, Nigeria, West Africa)",,,P10614,,"Unknown (Senufo, Nigeria, West Africa)","Unknown (Senufo, Nigeria, West Africa)"
,"Unknown (Sepik River, Papua New Guinea)",,,P10615,,"Unknown (Sepik River, Papua New Guinea)","Unknown (Sepik River, Papua New Guinea)"
,Unknown (Siberia),,,P10616,,Unknown (Siberia),Unknown (Siberia)
,"Unknown (Thule, West Alaska)",,,P10617,,"Unknown (Thule, West Alaska)","Unknown (Thule, West Alaska)"
,"Unknown (Washkuk People, Upper Sepik, Papua New Guinea)",,,P10618,,"Unknown (Washkuk People, Upper Sepik, Papua New Guinea)","Unknown (Washkuk People, Upper Sepik, Papua New Guinea)"
,Unknown (West Alaska),,,P10619,,Unknown (West Alaska),Unknown (West Alaska)
,"Unknown (Wogumasch People, Upper Sepik, Papua New Guinea)",,,P10620,,"Unknown (Wogumasch People, Upper Sepik, Papua New Guinea)","Unknown (Wogumasch People, Upper Sepik, Papua New Guinea)"
,Unknown African,,,P10621,,Unknown African,Unknown African
,Juanisi Aqpalira Uqitattu,,,P10622,,"Uqitattu, Juanisi Aqpalira",Juanisi Aqpalira Uqitattu
,David Urban,,,P10623,,"Urban, David",David Urban
,Lisa Urbanic,,,P10624,,"Urbanic, Lisa",Lisa Urbanic
,Tony Urquhart,,,P10625,,"Urquhart, Tony",Tony Urquhart
,Armand Vaillancourt,,,P10626,,"Vaillancourt, Armand",Armand Vaillancourt
,Thelma Van Alstyne,,,P10627,,"Van Alstyne, Thelma",Thelma Van Alstyne
,Helen Van Houten,,,P10628,,"Van Houten, Helen",Helen Van Houten
,Various artists,,,P10629,,Various artists,Various artists
,Victor Vasarely,,,P10630,,"Vasarely, Victor",Victor Vasarely
,William Vazan,,,P10631,,"Vazan, William",William Vazan
,Brandon Vickerd,,,P10632,,"Vickerd, Brandon",Brandon Vickerd
,Marie-Elena Vieira Da Silva,,,P10633,,"Vieira Da Silva, Marie-Elena",Marie-Elena Vieira Da Silva
,Roger Vilder,,,P10634,,"Vilder, Roger",Roger Vilder
,Sara Vipond,,,P10635,,"Vipond, Sara",Sara Vipond
,Nicholas Wade,,,P10636,,"Wade, Nicholas",Nicholas Wade
,Lorne Wagman,,,P10637,,"Wagman, Lorne",Lorne Wagman
,Joy Walker,,,P10638,,"Walker, Joy",Joy Walker
,Andy Warhol,,,P10639,,"Warhol, Andy",Andy Warhol
,Scott Waters,,,P10640,,"Waters, Scott",Scott Waters
,Eli Weetaluktuk,,,P10641,,"Weetaluktuk, Eli",Eli Weetaluktuk
,Simeonie Weetaluktuk,,,P10642,,"Weetaluktuk, Simeonie",Simeonie Weetaluktuk
,Gu Wenda,,,P10643,,"Wenda, Gu",Gu Wenda
,Elwaht Wesley,,,P10644,,"Wesley, Elwaht",Elwaht Wesley
,John Wesley,,,P10645,,"Wesley, John",John Wesley
,Tom Wesselman,,,P10646,,"Wesselman, Tom",Tom Wesselman
,Lyn Westfall,,,P10647,,"Westfall, Lyn",Lyn Westfall
,Tim Whiten,,,P10648,,"Whiten, Tim",Tim Whiten
,Joyce Wieland,,,P10649,,"Wieland, Joyce",Joyce Wieland
,John Will,,,P10650,,"Will, John",John Will
,Christopher Williams,,,P10651,,"Williams, Christopher",Christopher Williams
,Elizabeth Willmott,,,P10652,,"Willmott, Elizabeth",Elizabeth Willmott
,York Wilson,,,P10653,,"Wilson, York",York Wilson
,Roger Wood,,,P10654,,"Wood, Roger",Roger Wood
,Fritz Wotruba,,,P10655,,"Wotruba, Fritz",Fritz Wotruba
,Walter Yarwood,,,P10656,,"Yarwood, Walter",Walter Yarwood
,Hokada Yoshida,,,P10657,,"Yoshida, Hokada",Hokada Yoshida
,Peter Young,,,P10658,,"Young, Peter",Peter Young
,Yvaral (Jean-Pierre Vasarely),,,P10659,,Yvaral (Jean-Pierre Vasarely),Yvaral (Jean-Pierre Vasarely)
,Carla Zaccagnini,,,P10660,,"Zaccagnini, Carla",Carla Zaccagnini
,Wou-Ki Zao,,,P10661,,"Zao, Wou-Ki",Wou-Ki Zao
,Barbara Zeigler-Sunger,,,P10662,,"Zeigler-Sunger, Barbara",Barbara Zeigler-Sunger
,Ed Zelenak,,,P10663,,"Zelenak, Ed",Ed Zelenak
